No. matches: 769; time differenes: 5.41046 size differences: 6.85458 ratio: 0.78932
sample, ac_time, lg_time, ac_space, lg_space, num_states, num_patterns
1,95427,663501,126540272,18460688,120744,6701
2,120731,675943,126540272,18460688,120744,6701
3,122446,662643,126540272,18460688,120744,6701
4,119962,663081,126540272,18460688,120744,6701
5,121726,671402,126540272,18460688,120744,6701
6,137477,667661,126540272,18460688,120744,6701
7,122368,663462,126540272,18460688,120744,6701
8,122401,655757,126540272,18460688,120744,6701
9,122693,663577,126540272,18460688,120744,6701
10,122563,562379,126540272,18460688,120744,6701
11,108688,608959,126540272,18460688,120744,6701
12,118224,610547,126540272,18460688,120744,6701
13,128114,647143,126540272,18460688,120744,6701
14,121668,647448,126540272,18460688,120744,6701
15,122467,658037,126540272,18460688,120744,6701
16,121932,659535,126540272,18460688,120744,6701
17,120014,669377,126540272,18460688,120744,6701
18,120367,661683,126540272,18460688,120744,6701
19,121402,657147,126540272,18460688,120744,6701
20,121445,662501,126540272,18460688,120744,6701
21,119859,659854,126540272,18460688,120744,6701
22,120662,662217,126540272,18460688,120744,6701
23,120684,669609,126540272,18460688,120744,6701
24,121859,660286,126540272,18460688,120744,6701
25,121396,658524,126540272,18460688,120744,6701
26,121183,660111,126540272,18460688,120744,6701
27,121089,660646,126540272,18460688,120744,6701
28,120798,658914,126540272,18460688,120744,6701
29,121283,664327,126540272,18460688,120744,6701
30,120157,667860,126540272,18460688,120744,6701
31,121674,664562,126540272,18460688,120744,6701
32,122682,659007,126540272,18460688,120744,6701
33,121127,656061,126540272,18460688,120744,6701
34,120570,679410,126540272,18460688,120744,6701
35,136928,669752,126540272,18460688,120744,6701
36,121688,654517,126540272,18460688,120744,6701
37,121166,660194,126540272,18460688,120744,6701
38,120527,660541,126540272,18460688,120744,6701
39,121161,664168,126540272,18460688,120744,6701
40,121518,675165,126540272,18460688,120744,6701
41,122086,660405,126540272,18460688,120744,6701
42,128024,658020,126540272,18460688,120744,6701
43,120901,670873,126540272,18460688,120744,6701
44,121235,659268,126540272,18460688,120744,6701
45,121121,661797,126540272,18460688,120744,6701
46,121822,681059,126540272,18460688,120744,6701
47,136128,669972,126540272,18460688,120744,6701
48,121694,663948,126540272,18460688,120744,6701
49,120572,675768,126540272,18460688,120744,6701
50,134511,660935,126540272,18460688,120744,6701
51,121787,563325,126540272,18460688,120744,6701
52,105701,605130,126540272,18460688,120744,6701
53,117627,615056,126540272,18460688,120744,6701
54,114100,651619,126540272,18460688,120744,6701
55,121007,650454,126540272,18460688,120744,6701
56,120770,646375,126540272,18460688,120744,6701
57,122141,660167,126540272,18460688,120744,6701
58,121595,661704,126540272,18460688,120744,6701
59,122230,663080,126540272,18460688,120744,6701
60,121040,662967,126540272,18460688,120744,6701
61,121436,655302,126540272,18460688,120744,6701
62,121070,651359,126540272,18460688,120744,6701
63,121302,669336,126540272,18460688,120744,6701
64,119941,662697,126540272,18460688,120744,6701
65,121559,659834,126540272,18460688,120744,6701
66,120768,656536,126540272,18460688,120744,6701
67,120633,654029,126540272,18460688,120744,6701
68,120167,666889,126540272,18460688,120744,6701
69,121368,665965,126540272,18460688,120744,6701
70,126074,660759,126540272,18460688,120744,6701
71,120993,659704,126540272,18460688,120744,6701
72,120318,663360,126540272,18460688,120744,6701
73,120544,666097,126540272,18460688,120744,6701
74,121980,660329,126540272,18460688,120744,6701
75,128288,684426,126540272,18460688,120744,6701
76,120078,667486,126540272,18460688,120744,6701
77,121516,662383,126540272,18460688,120744,6701
78,120318,676516,126540272,18460688,120744,6701
79,120956,655993,126540272,18460688,120744,6701
80,119755,662592,126540272,18460688,120744,6701
81,121475,663918,126540272,18460688,120744,6701
82,120931,660602,126540272,18460688,120744,6701
83,122220,664571,126540272,18460688,120744,6701
84,120691,661389,126540272,18460688,120744,6701
85,121615,658703,126540272,18460688,120744,6701
86,120839,660774,126540272,18460688,120744,6701
87,121274,666441,126540272,18460688,120744,6701
88,121920,657348,126540272,18460688,120744,6701
89,121325,663464,126540272,18460688,120744,6701
90,120606,659815,126540272,18460688,120744,6701
91,121944,660528,126540272,18460688,120744,6701
92,121975,562340,126540272,18460688,120744,6701
93,105927,601110,126540272,18460688,120744,6701
94,113868,647569,126540272,18460688,120744,6701
95,121185,646982,126540272,18460688,120744,6701
96,123290,645116,126540272,18460688,120744,6701
97,125485,649570,126540272,18460688,120744,6701
98,121384,660993,126540272,18460688,120744,6701
99,120838,656249,126540272,18460688,120744,6701
100,121862,658360,126540272,18460688,120744,6701
