No. matches: 2; time differenes: 2.70454 size differences: 13.3179 ratio: 0.203076
sample, ac_time, lg_time, ac_space, lg_space, num_states, num_patterns
1,46686,143066,1842944,138381,1758,121
2,50733,139958,1842944,138381,1758,121
3,50424,138656,1842944,138381,1758,121
4,50973,131874,1842944,138381,1758,121
5,48211,132142,1842944,138381,1758,121
6,48661,147465,1842944,138381,1758,121
7,48414,130648,1842944,138381,1758,121
8,47750,130729,1842944,138381,1758,121
9,48224,131424,1842944,138381,1758,121
10,48128,130845,1842944,138381,1758,121
11,48684,131024,1842944,138381,1758,121
12,48931,130980,1842944,138381,1758,121
13,48275,125513,1842944,138381,1758,121
14,47174,130855,1842944,138381,1758,121
15,47921,131066,1842944,138381,1758,121
16,48275,126190,1842944,138381,1758,121
17,46798,126006,1842944,138381,1758,121
18,46629,126090,1842944,138381,1758,121
19,45859,125887,1842944,138381,1758,121
20,46527,125730,1842944,138381,1758,121
21,46504,125064,1842944,138381,1758,121
22,46681,126078,1842944,138381,1758,121
23,46978,125638,1842944,138381,1758,121
24,46855,125613,1842944,138381,1758,121
25,47001,125715,1842944,138381,1758,121
26,45902,125976,1842944,138381,1758,121
27,46122,124972,1842944,138381,1758,121
28,46278,125473,1842944,138381,1758,121
29,46239,124915,1842944,138381,1758,121
30,46513,125343,1842944,138381,1758,121
31,47331,125174,1842944,138381,1758,121
32,46344,125366,1842944,138381,1758,121
33,46095,125571,1842944,138381,1758,121
34,46277,125576,1842944,138381,1758,121
35,46471,125736,1842944,138381,1758,121
36,46326,125673,1842944,138381,1758,121
37,46788,125590,1842944,138381,1758,121
38,46689,133167,1842944,138381,1758,121
39,46742,124790,1842944,138381,1758,121
40,47376,125807,1842944,138381,1758,121
41,45881,126397,1842944,138381,1758,121
42,46934,126403,1842944,138381,1758,121
43,46524,126019,1842944,138381,1758,121
44,47001,125529,1842944,138381,1758,121
45,46118,125915,1842944,138381,1758,121
46,46510,126239,1842944,138381,1758,121
47,46695,125950,1842944,138381,1758,121
48,46368,125956,1842944,138381,1758,121
49,46266,125522,1842944,138381,1758,121
50,46421,125479,1842944,138381,1758,121
51,46748,125068,1842944,138381,1758,121
52,46720,125280,1842944,138381,1758,121
53,46682,125729,1842944,138381,1758,121
54,46630,125544,1842944,138381,1758,121
55,45942,125505,1842944,138381,1758,121
56,46428,125843,1842944,138381,1758,121
57,46079,131930,1842944,138381,1758,121
58,46613,125940,1842944,138381,1758,121
59,45806,125368,1842944,138381,1758,121
60,46318,124919,1842944,138381,1758,121
61,46187,124811,1842944,138381,1758,121
62,46469,125294,1842944,138381,1758,121
63,47101,124405,1842944,138381,1758,121
64,46818,124816,1842944,138381,1758,121
65,46990,124906,1842944,138381,1758,121
66,47043,125198,1842944,138381,1758,121
67,46766,125997,1842944,138381,1758,121
68,53508,125168,1842944,138381,1758,121
69,46015,125199,1842944,138381,1758,121
70,46140,124481,1842944,138381,1758,121
71,46815,125131,1842944,138381,1758,121
72,46876,125193,1842944,138381,1758,121
73,46445,124476,1842944,138381,1758,121
74,46677,124973,1842944,138381,1758,121
75,46639,125818,1842944,138381,1758,121
76,46435,126181,1842944,138381,1758,121
77,45801,125591,1842944,138381,1758,121
78,46761,125617,1842944,138381,1758,121
79,46888,125620,1842944,138381,1758,121
80,46896,125669,1842944,138381,1758,121
81,47223,125428,1842944,138381,1758,121
82,45918,125127,1842944,138381,1758,121
83,47223,125284,1842944,138381,1758,121
84,46956,124675,1842944,138381,1758,121
85,46291,125319,1842944,138381,1758,121
86,46583,131663,1842944,138381,1758,121
87,46442,124565,1842944,138381,1758,121
88,46331,124274,1842944,138381,1758,121
89,45776,124849,1842944,138381,1758,121
90,46976,125383,1842944,138381,1758,121
91,45912,125237,1842944,138381,1758,121
92,46428,125585,1842944,138381,1758,121
93,46336,124983,1842944,138381,1758,121
94,46384,125665,1842944,138381,1758,121
95,46045,125314,1842944,138381,1758,121
96,46878,125379,1842944,138381,1758,121
97,46200,125361,1842944,138381,1758,121
98,46376,125438,1842944,138381,1758,121
99,46002,124756,1842944,138381,1758,121
100,46346,125257,1842944,138381,1758,121
