No. matches: 1; time differenes: 3.11891 size differences: 8.90205 ratio: 0.350358
sample, ac_time, lg_time, ac_space, lg_space, num_states, num_patterns
1,50751,227785,4867472,546781,4644,261
2,72470,223610,4867472,546781,4644,261
3,70552,225617,4867472,546781,4644,261
4,71810,223757,4867472,546781,4644,261
5,71071,223648,4867472,546781,4644,261
6,72780,223815,4867472,546781,4644,261
7,72061,224588,4867472,546781,4644,261
8,73173,229809,4867472,546781,4644,261
9,71797,223021,4867472,546781,4644,261
10,70391,222627,4867472,546781,4644,261
11,71582,224531,4867472,546781,4644,261
12,72153,222166,4867472,546781,4644,261
13,72271,222491,4867472,546781,4644,261
14,72308,226970,4867472,546781,4644,261
15,77350,224307,4867472,546781,4644,261
16,72457,222917,4867472,546781,4644,261
17,71563,223040,4867472,546781,4644,261
18,72348,221068,4867472,546781,4644,261
19,71785,222924,4867472,546781,4644,261
20,71013,223875,4867472,546781,4644,261
21,71902,222976,4867472,546781,4644,261
22,71093,222677,4867472,546781,4644,261
23,77944,222823,4867472,546781,4644,261
24,72219,225556,4867472,546781,4644,261
25,71377,221797,4867472,546781,4644,261
26,71269,225347,4867472,546781,4644,261
27,70526,223746,4867472,546781,4644,261
28,72125,222656,4867472,546781,4644,261
29,71464,221849,4867472,546781,4644,261
30,71819,222327,4867472,546781,4644,261
31,71819,224382,4867472,546781,4644,261
32,71478,221033,4867472,546781,4644,261
33,71020,229720,4867472,546781,4644,261
34,72833,222883,4867472,546781,4644,261
35,71421,222806,4867472,546781,4644,261
36,71532,220383,4867472,546781,4644,261
37,71404,221736,4867472,546781,4644,261
38,71027,221700,4867472,546781,4644,261
39,71318,222374,4867472,546781,4644,261
40,72433,221573,4867472,546781,4644,261
41,70760,221258,4867472,546781,4644,261
42,71510,221367,4867472,546781,4644,261
43,70365,220607,4867472,546781,4644,261
44,71063,221748,4867472,546781,4644,261
45,70856,221655,4867472,546781,4644,261
46,71071,222861,4867472,546781,4644,261
47,71341,220415,4867472,546781,4644,261
48,71888,221181,4867472,546781,4644,261
49,69849,221766,4867472,546781,4644,261
50,70664,222502,4867472,546781,4644,261
51,70229,220973,4867472,546781,4644,261
52,71057,223137,4867472,546781,4644,261
53,71798,220959,4867472,546781,4644,261
54,70510,222231,4867472,546781,4644,261
55,71050,221805,4867472,546781,4644,261
56,71156,221211,4867472,546781,4644,261
57,71742,222006,4867472,546781,4644,261
58,71729,219957,4867472,546781,4644,261
59,71379,222882,4867472,546781,4644,261
60,71007,221659,4867472,546781,4644,261
61,70218,221215,4867472,546781,4644,261
62,71794,224041,4867472,546781,4644,261
63,71498,220688,4867472,546781,4644,261
64,72102,222149,4867472,546781,4644,261
65,71288,221112,4867472,546781,4644,261
66,71416,223113,4867472,546781,4644,261
67,71484,220559,4867472,546781,4644,261
68,71865,220926,4867472,546781,4644,261
69,70814,221057,4867472,546781,4644,261
70,71929,221212,4867472,546781,4644,261
71,71787,222778,4867472,546781,4644,261
72,71594,222425,4867472,546781,4644,261
73,71657,220431,4867472,546781,4644,261
74,71989,220864,4867472,546781,4644,261
75,72316,220036,4867472,546781,4644,261
76,70990,220276,4867472,546781,4644,261
77,71030,218284,4867472,546781,4644,261
78,62504,223098,4867472,546781,4644,261
79,71478,222199,4867472,546781,4644,261
80,72423,219603,4867472,546781,4644,261
81,71327,223641,4867472,546781,4644,261
82,71142,222282,4867472,546781,4644,261
83,71551,222453,4867472,546781,4644,261
84,72040,222293,4867472,546781,4644,261
85,70223,223210,4867472,546781,4644,261
86,71080,221449,4867472,546781,4644,261
87,71772,220824,4867472,546781,4644,261
88,70847,221106,4867472,546781,4644,261
89,70505,219436,4867472,546781,4644,261
90,71516,221602,4867472,546781,4644,261
91,71123,224310,4867472,546781,4644,261
92,72310,223006,4867472,546781,4644,261
93,71535,221452,4867472,546781,4644,261
94,71021,221242,4867472,546781,4644,261
95,71524,220392,4867472,546781,4644,261
96,71316,233130,4867472,546781,4644,261
97,76267,220751,4867472,546781,4644,261
98,71707,221797,4867472,546781,4644,261
99,71828,228871,4867472,546781,4644,261
100,72341,221744,4867472,546781,4644,261
