No. matches: 273; time differenes: 5.3951 size differences: 6.23912 ratio: 0.86472
sample, ac_time, lg_time, ac_space, lg_space, num_states, num_patterns
1,98561,641358,335081792,53706548,319734,8779
2,119089,681227,335081792,53706548,319734,8779
3,127394,687894,335081792,53706548,319734,8779
4,126960,683306,335081792,53706548,319734,8779
5,126152,691864,335081792,53706548,319734,8779
6,126733,684049,335081792,53706548,319734,8779
7,125928,681253,335081792,53706548,319734,8779
8,126664,680087,335081792,53706548,319734,8779
9,127150,679367,335081792,53706548,319734,8779
10,126803,685682,335081792,53706548,319734,8779
11,126270,689832,335081792,53706548,319734,8779
12,126840,692261,335081792,53706548,319734,8779
13,127796,699266,335081792,53706548,319734,8779
14,136020,688587,335081792,53706548,319734,8779
15,129626,630681,335081792,53706548,319734,8779
16,122308,688042,335081792,53706548,319734,8779
17,128044,677991,335081792,53706548,319734,8779
18,126302,709836,335081792,53706548,319734,8779
19,126244,678911,335081792,53706548,319734,8779
20,126937,688400,335081792,53706548,319734,8779
21,126230,701559,335081792,53706548,319734,8779
22,125997,685030,335081792,53706548,319734,8779
23,127363,682128,335081792,53706548,319734,8779
24,126662,695241,335081792,53706548,319734,8779
25,128283,682015,335081792,53706548,319734,8779
26,128039,681922,335081792,53706548,319734,8779
27,127431,688675,335081792,53706548,319734,8779
28,127947,599964,335081792,53706548,319734,8779
29,111121,671129,335081792,53706548,319734,8779
30,126991,686854,335081792,53706548,319734,8779
31,127725,683302,335081792,53706548,319734,8779
32,125950,687696,335081792,53706548,319734,8779
33,127008,687712,335081792,53706548,319734,8779
34,126266,685911,335081792,53706548,319734,8779
35,126301,678468,335081792,53706548,319734,8779
36,126469,681542,335081792,53706548,319734,8779
37,126869,684488,335081792,53706548,319734,8779
38,127950,688431,335081792,53706548,319734,8779
39,127000,682986,335081792,53706548,319734,8779
40,135204,674942,335081792,53706548,319734,8779
41,127670,686674,335081792,53706548,319734,8779
42,127568,630932,335081792,53706548,319734,8779
43,122886,697573,335081792,53706548,319734,8779
44,128237,681437,335081792,53706548,319734,8779
45,126037,680326,335081792,53706548,319734,8779
46,122865,688109,335081792,53706548,319734,8779
47,127065,680021,335081792,53706548,319734,8779
48,127653,685134,335081792,53706548,319734,8779
49,128153,681536,335081792,53706548,319734,8779
50,126605,686691,335081792,53706548,319734,8779
51,126999,683011,335081792,53706548,319734,8779
52,127388,680375,335081792,53706548,319734,8779
53,127087,689705,335081792,53706548,319734,8779
54,127059,689200,335081792,53706548,319734,8779
55,126976,599659,335081792,53706548,319734,8779
56,110668,674352,335081792,53706548,319734,8779
57,127023,687428,335081792,53706548,319734,8779
58,126312,684253,335081792,53706548,319734,8779
59,125333,683938,335081792,53706548,319734,8779
60,127548,680493,335081792,53706548,319734,8779
61,126402,681991,335081792,53706548,319734,8779
62,127453,689901,335081792,53706548,319734,8779
63,126841,682817,335081792,53706548,319734,8779
64,126405,685181,335081792,53706548,319734,8779
65,127270,688704,335081792,53706548,319734,8779
66,126152,685357,335081792,53706548,319734,8779
67,127377,681456,335081792,53706548,319734,8779
68,127368,683561,335081792,53706548,319734,8779
69,126695,617805,335081792,53706548,319734,8779
70,115463,673337,335081792,53706548,319734,8779
71,129096,683078,335081792,53706548,319734,8779
72,125831,682153,335081792,53706548,319734,8779
73,125569,688161,335081792,53706548,319734,8779
74,126655,680671,335081792,53706548,319734,8779
75,125714,684419,335081792,53706548,319734,8779
76,126711,679321,335081792,53706548,319734,8779
77,126346,690155,335081792,53706548,319734,8779
78,127729,680749,335081792,53706548,319734,8779
79,128161,680719,335081792,53706548,319734,8779
80,126644,680086,335081792,53706548,319734,8779
81,126303,677781,335081792,53706548,319734,8779
82,125908,679474,335081792,53706548,319734,8779
83,127989,671159,335081792,53706548,319734,8779
84,127755,683440,335081792,53706548,319734,8779
85,127449,685449,335081792,53706548,319734,8779
86,125276,695528,335081792,53706548,319734,8779
87,127626,680797,335081792,53706548,319734,8779
88,126874,680677,335081792,53706548,319734,8779
89,125273,683157,335081792,53706548,319734,8779
90,126656,680172,335081792,53706548,319734,8779
91,127071,687668,335081792,53706548,319734,8779
92,127930,678443,335081792,53706548,319734,8779
93,127067,681387,335081792,53706548,319734,8779
94,125015,695407,335081792,53706548,319734,8779
95,128462,682141,335081792,53706548,319734,8779
96,126174,621489,335081792,53706548,319734,8779
97,114254,671939,335081792,53706548,319734,8779
98,124840,692947,335081792,53706548,319734,8779
99,124784,678189,335081792,53706548,319734,8779
100,126954,688426,335081792,53706548,319734,8779
